Spiritual_Term,Symbol_LaTeX,Symbol_Display,Category,Primary_Equation,Basic_Translation,Medium_Translation,Academic_Translation,Obsidian_Link,Context_Notes,Source_Paper
Grace,G,G,Spiritual_Fields,G′(Rp) = e^(-γ(S-RJ)) · (1-Rp),divine help that changes us,Grace as counterforce to sin's pull,"Grace function: exponential response to repentance, modulated by sin and resurrection factor",[[Grace_Mathematics]],γ = divine constant analogous to G_N,Grace Function Model
Grace_Negentropic,G(t),G(t),Spiritual_Dynamics,G(t) = G₀ · e^(∫₀ᵗ r(t')dt') · (1 - R(t)),Grace growing over time,Grace as negentropy accumulator,"Grace as time-integrated reception rate with resistance factor",[[Grace_Mathematics]],G₀ = baseline divine provision,Negentropic Force
Grace_Entropy,dS/dt,dS/dt,Spiritual_Thermodynamics,dS/dt = λS - μG,Grace fights spiritual decay,Grace opposing entropy growth,"Differential equation: entropy rate balanced by Grace coefficient",[[Grace_Mathematics]],μ = Grace effectiveness; λ = decay constant,Grace-Entropy Dynamics
Grace_Reception,r(t),r(t),Spiritual_Response,r(t) = r₀ · (1 + sin(ωt + φ)) · e^(-α·P(t)) · A(t),how well we receive Grace,Grace reception with spiritual cycles,"Oscillating reception modulated by pride and awareness",[[Grace_Mathematics]],"Pride P(t) reduces reception; Awareness A(t) increases it",Reception Dynamics
Grace_Propagation,∇²G,∇²G,Spiritual_Waves,∇²G - (1/c²) · ∂²G/∂t² = ρ(x\,t),Grace spreading like a wave,Grace propagation wave equation,"D'Alembertian wave equation with source term",[[Grace_Mathematics]],c = spiritual speed limit for Grace propagation,Wave Propagation
Grace_Tunneling,T_spiritual,T_spiritual,Quantum_Grace,T_spiritual = e^(-2κd) where κ = √(2μ(P-G))/ψ,Grace can break through barriers,Quantum tunneling probability for transformation,"Tunneling coefficient: exponential decay with barrier width and energy gap",[[Grace_Mathematics]],"d = transformation distance; μ = pattern entrenchment",Quantum Tunneling Grace
Grace_Escape_Velocity,G′(Rp),G′(Rp),Spiritual_Threshold,G′(Rp) > √(2GMs/r),enough Grace to break free,Grace exceeding escape velocity criterion,"Grace function must exceed gravitational binding energy",[[Grace_Mathematics]],"Ms = accumulated sin patterns; r = spiritual distance",Escape Velocity Model
Grace_Community,G_community,G_community,Collective_Spiritual,G_community = G_individual · N · C,Grace multiplied in community,Community amplification of Grace,"Product of individual Grace\, number\, and coherence",[[Grace_Mathematics]],C = coherence factor (unity of purpose),Community Amplification
Faith,R(F),R(F),Spiritual_Response,R(F) = Rₘₐₓ · (1 + e^(-k·(F-F₀)))^(-1) · E(t),Faith response grows like S-curve,Faith as sigmoid activation function,"Logistic function: threshold activation with environmental modulation",[[Faith_Mathematics]],F₀ = activation threshold (mustard seed),Sigmoid Faith Model
Faith_Quantum,|ψ_faith⟩,|ψ_faith⟩,Quantum_Spiritual,|ψ_faith⟩ = α|doubt⟩ + β|belief⟩,Faith as quantum superposition,Faith state as belief-doubt mix,"Quantum state: linear combination of doubt and belief eigenstates",[[Faith_Mathematics]],|α|² + |β|² = 1 (normalization),Quantum Faith State
