Paper_Number,Paper_Title,Theory_Name,Theory_Type,Key_Concept,Primary_Author,Domain,Related_Law,Description,Tags
P01,Logos Principle,It from Bit,Physics/Information,Information as substrate of reality,John Archibald Wheeler,Information Theory,Law 3,Wheeler's principle that physical reality emerges from information,"Information,Quantum,Foundation"
P01,Logos Principle,Johannine Theology,Theology,In the beginning was the Word,John (Apostle),Theology,All Laws,Biblical foundation: Logos as creative principle,"Scripture,Foundation,Logos"
P01,Logos Principle,Participatory Universe,Physics/Philosophy,Observer-dependent reality,John Archibald Wheeler,Quantum Mechanics,Law 5-6,Universe requires conscious participation,"Observer,Consciousness,Quantum"
P01,Logos Principle,Logos Incarnation,Theology,Word made flesh,John 1:14,Christology,Law 6,Divine information becoming physical reality,"Incarnation,Scripture,Foundation"
P01,Logos Principle,Immanent-Transcendent,Theology,God within and beyond creation,Various,Theology,All Laws,Divine presence both in and beyond universe,"Trinity,Metaphysics"
P02,Quantum Bridge,Wave Function Collapse,Physics,Superposition to eigenstate,Various,Quantum Mechanics,Law 5-6,Quantum state reduction upon measurement,"Measurement,Quantum,Core"
P02,Quantum Bridge,Measurement Problem,Physics,Observer role in quantum mechanics,Various,Quantum Mechanics,Law 6,Paradox of measurement in QM,"Observer,Quantum,Problem"
P02,Quantum Bridge,Observer Effect,Physics,Observation affects system,Werner Heisenberg,Quantum Mechanics,Law 6,Consciousness affecting quantum systems,"Measurement,Observer,Quantum"
P02,Quantum Bridge,Von Neumann Chain,Physics,Measurement regress problem,John von Neumann,Quantum Mechanics,Law 6,Infinite regress of observers,"Measurement,Paradox,Quantum"
P02,Quantum Bridge,Quantum Superposition,Physics,Multiple simultaneous states,Erwin Schrödinger,Quantum Mechanics,Law 5,States coexist before observation,"Quantum,Potential,Core"
P02,Quantum Bridge,Quantum Entanglement,Physics,Non-local correlation,Einstein-Podolsky-Rosen,Quantum Mechanics,Law 2,Instantaneous correlation across distance,"Quantum,NonLocality,Core"
P02,Quantum Bridge,Double Slit Experiment,Physics,Wave-particle duality,Thomas Young,Quantum Mechanics,Law 5-6,Demonstrates observer effect,"Experiment,Quantum,Classic"
P02,Quantum Bridge,Delayed Choice Experiment,Physics,Retroactive causality,John Archibald Wheeler,Quantum Mechanics,Law 6,Observer choice affects past,"Experiment,Causality,Quantum"
P02,Quantum Bridge,Dorothy Protocol,Experimental,Intent-quantum correlation test,David Lowe,Experimental Protocol,Law 6,Testing consciousness-quantum interaction,"Experiment,Validation,Original"
P02,Quantum Bridge,Radin Double Slit,Experimental,Consciousness affects interference,Dean Radin,Experimental,Law 6,Human observation affecting quantum patterns,"Experiment,Consciousness,Validation"
P03,Algorithm Reality,Wolfram Computational Universe,Physics/Computation,Universe as computation,Stephen Wolfram,Computational Physics,All Laws,Reality as rule-based computation,"Computation,Foundation,Physics"
P03,Algorithm Reality,Kolmogorov Complexity,Information Theory,Minimal description length,Andrey Kolmogorov,Information Theory,Law 3,Algorithmic information content,"Information,Complexity,Mathematics"
P03,Algorithm Reality,Algorithmic Information Theory,Information Theory,Information via algorithms,Ray Solomonoff,Information Theory,Law 3,AIT framework for information,"Information,Algorithm,Theory"
P03,Algorithm Reality,Shannon Entropy,Information Theory,Information uncertainty measure,Claude Shannon,Information Theory,Law 3-4,Quantifying information content,"Information,Entropy,Foundation"
P03,Algorithm Reality,Logos Algorithm,Theophysics,Divine compression principle,David Lowe,Theophysics,Law 3,God's optimal information encoding,"Information,Divine,Original"
P03,Algorithm Reality,Computational Cosmos,Physics,Universe as computation,Various,Computational Physics,All Laws,Reality emerges from computation,"Computation,Physics,Theory"
P03,Algorithm Reality,Holographic Principle,Physics,Information on boundaries,Gerard 't Hooft,Theoretical Physics,Law 3,Universe encoded on boundary,"Information,Physics,Advanced"
P04,Hard Problem,Hard Problem of Consciousness,Philosophy,Explaining subjective experience,David Chalmers,Philosophy of Mind,Law 6,Why and how qualia arise,"Consciousness,Philosophy,Core"
P04,Hard Problem,Qualia,Philosophy,Subjective phenomenal experience,Various,Philosophy of Mind,Law 6,First-person experiential qualities,"Consciousness,Experience,Core"
P04,Hard Problem,Explanatory Gap,Philosophy,Physics-to-experience gap,Joseph Levine,Philosophy of Mind,Law 6,Unbridged gap between physical and mental,"Consciousness,Problem,Philosophy"
P04,Hard Problem,Panpsychism,Philosophy,Consciousness as fundamental,Various,Philosophy of Mind,Law 5-6,Consciousness pervades reality,"Consciousness,Metaphysics,Theory"
P04,Hard Problem,Integrated Information Theory,Neuroscience,Consciousness from integration,Giulio Tononi,Neuroscience,Law 9,Phi (Φ) as consciousness measure,"Consciousness,Theory,Neuroscience"
P04,Hard Problem,Global Workspace Theory,Neuroscience,Consciousness as broadcast,Bernard Baars,Neuroscience,Law 3,Information broadcast model,"Consciousness,Theory,Neuroscience"
P04,Hard Problem,Orchestrated Reduction,Physics/Neuroscience,Quantum consciousness,Penrose-Hameroff,Quantum Biology,Law 5-6,Quantum processes in microtubules,"Consciousness,Quantum,Theory"
